ad_id	reporting_start	reporting_end	campaign_id	fb_campaign_id	age	gender	impressions	clicks	spent	total_conversion	approved_conversion	interest_type	interest
734266	8/26/2017	8/26/2017	936	108664	30-34	M	605	0	0	1	0	interest1	25
734266	8/26/2017	8/26/2017	936	108664	30-34	M	605	0	0	1	0	interest2	30
734266	8/26/2017	8/26/2017	936	108664	30-34	M	605	0	0	1	0	interest3	27
734272	8/26/2017	8/26/2017	936	108665	30-34	M	1030	0	0	1	0	interest1	26
734272	8/26/2017	8/26/2017	936	108665	30-34	M	1030	0	0	1	0	interest2	32
734272	8/26/2017	8/26/2017	936	108665	30-34	M	1030	0	0	1	0	interest3	29
734314	8/27/2017	8/27/2017	936	108672	30-34	M	962	0	0	1	0	interest1	36
734314	8/27/2017	8/27/2017	936	108672	30-34	M	962	0	0	1	0	interest2	38
734314	8/27/2017	8/27/2017	936	108672	30-34	M	962	0	0	1	0	interest3	38
734794	8/28/2017	8/28/2017	936	108752	30-34	F	4010	0	0	1	0	interest1	16
734794	8/28/2017	8/28/2017	936	108752	30-34	F	4010	0	0	1	0	interest2	19
734794	8/28/2017	8/28/2017	936	108752	30-34	F	4010	0	0	1	0	interest3	17
734800	8/28/2017	8/28/2017	936	108753	30-34	F	1635	0	0	1	0	interest1	18
734800	8/28/2017	8/28/2017	936	108753	30-34	F	1635	0	0	1	0	interest2	20
734800	8/28/2017	8/28/2017	936	108753	30-34	F	1635	0	0	1	0	interest3	20
734803	8/28/2017	8/28/2017	936	108753	30-34	F	1631	0	0	1	0	interest1	18
734803	8/28/2017	8/28/2017	936	108753	30-34	F	1631	0	0	1	0	interest2	19
734803	8/28/2017	8/28/2017	936	108753	30-34	F	1631	0	0	1	0	interest3	21
734901	8/20/2017	8/20/2017	936	108770	30-34	F	1554	0	0	1	0	interest1	64
734901	8/20/2017	8/20/2017	936	108770	30-34	F	1554	0	0	1	0	interest2	70
734901	8/20/2017	8/20/2017	936	108770	30-34	F	1554	0	0	1	0	interest3	68
736890	8/18/2017	8/18/2017	936	109451	30-34	M	2522	0	0	1	0	interest1	15
736890	8/18/2017	8/18/2017	936	109451	30-34	M	2522	0	0	1	0	interest2	16
736890	8/18/2017	8/18/2017	936	109451	30-34	M	2522	0	0	1	0	interest3	20
736893	8/18/2017	8/18/2017	936	109452	30-34	M	3587	0	0	1	0	interest1	16
736893	8/18/2017	8/18/2017	936	109452	30-34	M	3587	0	0	1	0	interest2	17
736893	8/18/2017	8/18/2017	936	109452	30-34	M	3587	0	0	1	0	interest3	17
736977	8/18/2017	8/18/2017	936	109470	30-34	M	1273	0	0	1	0	interest1	27
736977	8/18/2017	8/18/2017	936	109470	30-34	M	1273	0	0	1	0	interest2	30
736977	8/18/2017	8/18/2017	936	109470	30-34	M	1273	0	0	1	0	interest3	28
736995	8/21/2017	8/21/2017	936	109473	30-34	M	1888	0	0	1	0	interest1	29
736995	8/21/2017	8/21/2017	936	109473	30-34	M	1888	0	0	1	0	interest2	34
736995	8/21/2017	8/21/2017	936	109473	30-34	M	1888	0	0	1	0	interest3	34
736997	8/21/2017	8/21/2017	936	109473	30-34	M	1895	0	0	1	0	interest1	29
736997	8/21/2017	8/21/2017	936	109473	30-34	M	1895	0	0	1	0	interest2	32
736997	8/21/2017	8/21/2017	936	109473	30-34	M	1895	0	0	1	0	interest3	33
737961	8/20/2017	8/20/2017	936	109706	30-34	F	523	0	0	1	0	interest1	23
737961	8/20/2017	8/20/2017	936	109706	30-34	F	523	0	0	1	0	interest2	29
737961	8/20/2017	8/20/2017	936	109706	30-34	F	523	0	0	1	0	interest3	28
737995	8/20/2017	8/20/2017	936	109714	30-34	F	1873	0	0	1	0	interest1	26
737995	8/20/2017	8/20/2017	936	109714	30-34	F	1873	0	0	1	0	interest2	27
737995	8/20/2017	8/20/2017	936	109714	30-34	F	1873	0	0	1	0	interest3	31
738067	8/20/2017	8/20/2017	936	109731	30-34	F	658	0	0	1	0	interest1	32
738067	8/20/2017	8/20/2017	936	109731	30-34	F	658	0	0	1	0	interest2	37
738067	8/20/2017	8/20/2017	936	109731	30-34	F	658	0	0	1	0	interest3	36
738098	8/20/2017	8/20/2017	936	109738	30-34	F	1539	0	0	1	0	interest1	64
738098	8/20/2017	8/20/2017	936	109738	30-34	F	1539	0	0	1	0	interest2	70
738098	8/20/2017	8/20/2017	936	109738	30-34	F	1539	0	0	1	0	interest3	68
747213	8/18/2017	8/18/2017	936	110836	30-34	M	1746	0	0	1	0	interest1	10
747213	8/18/2017	8/18/2017	936	110836	30-34	M	1746	0	0	1	0	interest2	12
747213	8/18/2017	8/18/2017	936	110836	30-34	M	1746	0	0	1	0	interest3	11
747879	8/24/2017	8/24/2017	936	110947	30-34	F	493	0	0	1	0	interest1	30
747879	8/24/2017	8/24/2017	936	110947	30-34	F	493	0	0	1	0	interest2	36
747879	8/24/2017	8/24/2017	936	110947	30-34	F	493	0	0	1	0	interest3	31
776430	8/22/2017	8/22/2017	936	115503	30-34	M	3200	0	0	1	0	interest1	10
776430	8/22/2017	8/22/2017	936	115503	30-34	M	3200	0	0	1	0	interest2	14
776430	8/22/2017	8/22/2017	936	115503	30-34	M	3200	0	0	1	0	interest3	16
776477	8/21/2017	8/21/2017	936	115510	30-34	M	9982	0	0	1	0	interest1	16
776477	8/21/2017	8/21/2017	936	115510	30-34	M	9982	0	0	1	0	interest2	22
776477	8/21/2017	8/21/2017	936	115510	30-34	M	9982	0	0	1	0	interest3	17
776494	8/21/2017	8/21/2017	936	115513	30-34	M	7015	0	0	1	0	interest1	15
776494	8/21/2017	8/21/2017	936	115513	30-34	M	7015	0	0	1	0	interest2	16
776494	8/21/2017	8/21/2017	936	115513	30-34	M	7015	0	0	1	0	interest3	16
776603	8/23/2017	8/23/2017	936	115531	30-34	F	506	0	0	1	0	interest1	2
776603	8/23/2017	8/23/2017	936	115531	30-34	F	506	0	0	1	0	interest2	3
776603	8/23/2017	8/23/2017	936	115531	30-34	F	506	0	0	1	0	interest3	6
777904	8/30/2017	8/30/2017	936	115762	30-34	M	3279	0	0	1	0	interest1	31
777904	8/30/2017	8/30/2017	936	115762	30-34	M	3279	0	0	1	0	interest2	32
777904	8/30/2017	8/30/2017	936	115762	30-34	M	3279	0	0	1	0	interest3	33
777905	8/30/2017	8/30/2017	936	115762	30-34	M	3288	0	0	1	0	interest1	31
777905	8/30/2017	8/30/2017	936	115762	30-34	M	3288	0	0	1	0	interest2	36
777905	8/30/2017	8/30/2017	936	115762	30-34	M	3288	0	0	1	0	interest3	36
778124	8/28/2017	8/28/2017	936	115798	30-34	M	4871	0	0	1	0	interest1	29
778124	8/28/2017	8/28/2017	936	115798	30-34	M	4871	0	0	1	0	interest2	34
778124	8/28/2017	8/28/2017	936	115798	30-34	M	4871	0	0	1	0	interest3	32
778529	8/27/2017	8/27/2017	936	115866	30-34	M	2214	0	0	1	0	interest1	31
778529	8/27/2017	8/27/2017	936	115866	30-34	M	2214	0	0	1	0	interest2	35
778529	8/27/2017	8/27/2017	936	115866	30-34	M	2214	0	0	1	0	interest3	33
778628	8/29/2017	8/29/2017	936	115882	30-34	M	4608	0	0	1	0	interest1	29
778628	8/29/2017	8/29/2017	936	115882	30-34	M	4608	0	0	1	0	interest2	35
778628	8/29/2017	8/29/2017	936	115882	30-34	M	4608	0	0	1	0	interest3	30
778808	8/29/2017	8/29/2017	936	115912	30-34	M	1738	0	0	1	0	interest1	26
778808	8/29/2017	8/29/2017	936	115912	30-34	M	1738	0	0	1	0	interest2	28
778808	8/29/2017	8/29/2017	936	115912	30-34	M	1738	0	0	1	0	interest3	29
779995	8/21/2017	8/21/2017	936	116123	30-34	F	1961	0	0	1	0	interest1	20
779995	8/21/2017	8/21/2017	936	116123	30-34	F	1961	0	0	1	0	interest2	24
779995	8/21/2017	8/21/2017	936	116123	30-34	F	1961	0	0	1	0	interest3	25
780064	8/21/2017	8/21/2017	936	116135	30-34	F	2554	0	0	1	0	interest1	22
780064	8/21/2017	8/21/2017	936	116135	30-34	F	2554	0	0	1	0	interest2	24
780064	8/21/2017	8/21/2017	936	116135	30-34	F	2554	0	0	1	0	interest3	25
780629	8/24/2017	8/24/2017	936	116240	30-34	F	2963	0	0	1	0	interest1	28
780629	8/24/2017	8/24/2017	936	116240	30-34	F	2963	0	0	1	0	interest2	34
780629	8/24/2017	8/24/2017	936	116240	30-34	F	2963	0	0	1	0	interest3	34
780700	8/18/2017	8/18/2017	936	116252	30-34	F	3745	0	0	1	0	interest1	27
